consumidor,tipo_inmueble,moneda_region,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_106,Oficina,MXN,True,25,4,341.52,Eficiente
Usuario_107,Apartamento,COP,False,9,3,174.03,Eficiente
Usuario_108,Casa,MXN,False,27,7,364.26,Eficiente
Usuario_109,Oficina,COP,False,1,5,592.38,Moderado
Usuario_110,Apartamento,COP,True,23,2,311.57,Eficiente
Usuario_111,Casa,CLP,True,10,2,555.89,Ineficiente
Usuario_112,Comercio,COP,False,25,11,692.2,Eficiente
Usuario_113,Apartamento,ARS,True,3,6,142.43,Eficiente
Usuario_114,Casa,COP,False,6,8,490.41,Moderado
Usuario_115,Apartamento,MXN,True,6,1,264.96,Eficiente
Usuario_116,Casa,COP,True,2,11,279.49,Eficiente
Usuario_117,Casa,USD,True,18,6,383.19,Eficiente
Usuario_118,Comercio,PEN,True,23,12,939.62,Ineficiente
Usuario_119,Apartamento,MXN,False,2,2,301.49,Moderado
Usuario_120,Oficina,USD,True,12,2,549.81,Moderado
Usuario_121,Comercio,MXN,True,22,7,633.65,Eficiente
Usuario_122,Comercio,ARS,True,37,10,1101.62,Moderado
Usuario_123,Casa,PEN,True,20,1,442.18,Eficiente
Usuario_124,Oficina,PEN,True,39,6,504.12,Eficiente
Usuario_125,Apartamento,ARS,False,24,7,193.7,Eficiente
Usuario_126,Oficina,PEN,True,20,8,665.55,Moderado
Usuario_127,Oficina,ARS,True,1,7,421.09,Eficiente
Usuario_128,Oficina,USD,True,1,6,385.85,Eficiente
Usuario_129,Oficina,CLP,False,17,9,564.92,Moderado
Usuario_130,Oficina,MXN,True,1,13,444.99,Eficiente
Usuario_131,Casa,ARS,True,30,3,430.12,Eficiente
Usuario_132,Casa,MXN,False,3,11,251.28,Eficiente
Usuario_133,Comercio,USD,True,11,6,878.46,Moderado
Usuario_134,Casa,CLP,True,24,4,309.15,Eficiente
Usuario_135,Comercio,USD,True,22,2,420.17,Eficiente
Usuario_136,Comercio,PEN,False,26,1,508.86,Eficiente
Usuario_137,Apartamento,MXN,True,13,12,337.4,Moderado
Usuario_138,Oficina,BRL,False,1,12,733.68,Moderado
Usuario_139,Casa,CLP,False,24,1,291.76,Eficiente
Usuario_140,Apartamento,PEN,True,10,11,303.24,Moderado
Usuario_141,Casa,CLP,True,35,10,423.0,Eficiente
Usuario_142,Comercio,PEN,True,24,3,1099.63,Ineficiente
Usuario_143,Casa,USD,False,28,4,340.76,Eficiente
Usuario_144,Oficina,ARS,True,36,2,640.73,Eficiente
Usuario_145,Comercio,MXN,True,16,13,464.48,Eficiente
Usuario_146,Comercio,COP,True,16,12,697.37,Eficiente
Usuario_147,Apartamento,COP,False,17,11,344.04,Eficiente
Usuario_148,Oficina,USD,True,15,11,569.49,Moderado
Usuario_149,Comercio,MXN,False,16,11,621.52,Eficiente
Usuario_150,Oficina,MXN,True,15,1,360.14,Eficiente
Usuario_151,Casa,USD,True,34,4,456.23,Eficiente
Usuario_152,Oficina,MXN,True,11,7,622.43,Moderado
Usuario_153,Comercio,ARS,True,1,10,681.76,Moderado
Usuario_154,Apartamento,USD,True,15,11,341.21,Moderado
Usuario_155,Comercio,ARS,True,26,6,435.54,Eficiente
Usuario_156,Oficina,MXN,False,4,6,451.86,Eficiente
Usuario_157,Oficina,USD,False,5,11,760.53,Ineficiente
Usuario_158,Comercio,MXN,False,35,9,644.65,Eficiente
Usuario_159,Oficina,USD,True,13,2,426.13,Eficiente
Usuario_160,Casa,MXN,True,10,4,396.98,Eficiente
Usuario_161,Comercio,ARS,True,11,5,996.66,Moderado
Usuario_162,Apartamento,BRL,False,18,1,154.69,Eficiente
Usuario_163,Comercio,ARS,False,34,8,1080.11,Eficiente
Usuario_164,Casa,MXN,True,39,8,488.28,Eficiente
Usuario_165,Casa,USD,True,23,6,273.44,Eficiente
Usuario_166,Casa,COP,True,7,12,459.2,Ineficiente
Usuario_167,Casa,ARS,True,39,5,344.74,Eficiente
Usuario_168,Casa,ARS,True,3,8,350.8,Eficiente
Usuario_169,Apartamento,PEN,False,12,3,304.32,Eficiente
Usuario_170,Oficina,COP,False,7,3,781.39,Moderado
Usuario_171,Casa,MXN,True,26,2,254.33,Eficiente
Usuario_172,Casa,BRL,True,33,5,357.22,Eficiente
Usuario_173,Comercio,USD,False,37,3,756.66,Eficiente
Usuario_174,Apartamento,PEN,True,15,3,214.79,Eficiente
Usuario_175,Apartamento,MXN,True,2,6,211.9,Eficiente
Usuario_176,Oficina,CLP,True,7,8,326.13,Eficiente
Usuario_177,Apartamento,BRL,True,32,2,282.82,Eficiente
Usuario_178,Comercio,ARS,True,4,4,725.35,Eficiente
Usuario_179,Comercio,CLP,False,20,11,556.36,Eficiente
Usuario_180,Oficina,ARS,True,36,7,708.02,Eficiente
Usuario_181,Comercio,ARS,True,32,1,981.79,Moderado
Usuario_182,Casa,CLP,False,28,1,380.24,Eficiente
Usuario_183,Casa,BRL,True,13,12,314.46,Eficiente
Usuario_184,Comercio,CLP,False,1,13,866.66,Ineficiente
Usuario_185,Oficina,MXN,False,35,10,444.08,Eficiente
Usuario_186,Apartamento,PEN,True,30,7,183.92,Eficiente
Usuario_187,Oficina,PEN,False,36,7,665.26,Eficiente
Usuario_188,Apartamento,CLP,True,25,1,140.87,Eficiente
Usuario_189,Comercio,MXN,False,16,1,486.34,Eficiente
Usuario_190,Comercio,PEN,True,19,4,424.75,Eficiente
Usuario_191,Casa,MXN,False,1,5,263.53,Eficiente
Usuario_192,Apartamento,MXN,False,5,5,147.18,Eficiente
Usuario_193,Oficina,ARS,True,22,4,797.9,Moderado
Usuario_194,Comercio,PEN,True,24,8,622.17,Eficiente
Usuario_195,Oficina,PEN,False,37,7,374.63,Eficiente
Usuario_196,Casa,ARS,False,36,9,294.35,Eficiente
Usuario_197,Apartamento,CLP,True,36,7,337.95,Eficiente
Usuario_198,Apartamento,ARS,False,4,10,246.44,Eficiente
Usuario_199,Comercio,PEN,True,36,1,675.37,Eficiente
Usuario_200,Apartamento,PEN,True,18,13,324.15,Moderado
Usuario_201,Comercio,BRL,True,16,7,696.49,Eficiente
Usuario_202,Casa,CLP,True,18,1,327.25,Eficiente
Usuario_203,Apartamento,ARS,False,22,7,177.6,Eficiente
Usuario_204,Comercio,USD,True,2,10,684.46,Moderado
Usuario_205,Oficina,USD,False,21,8,458.34,Eficiente
Usuario_206,Comercio,CLP,True,36,11,894.11,Moderado
Usuario_207,Apartamento,ARS,True,39,9,195.71,Eficiente
Usuario_208,Casa,ARS,True,39,12,412.02,Eficiente
Usuario_209,Apartamento,MXN,True,29,3,146.5,Eficiente
Usuario_210,Apartamento,PEN,True,26,4,174.08,Eficiente
Usuario_211,Comercio,COP,True,21,4,705.18,Eficiente
Usuario_212,Oficina,BRL,True,17,12,768.47,Moderado
Usuario_213,Apartamento,CLP,True,16,9,215.0,Eficiente
Usuario_214,Oficina,COP,True,31,13,632.04,Eficiente
Usuario_215,Comercio,COP,True,9,7,598.56,Eficiente
Usuario_216,Oficina,CLP,False,31,3,363.52,Eficiente
Usuario_217,Comercio,ARS,False,14,10,460.98,Eficiente
Usuario_218,Casa,CLP,True,37,5,316.89,Eficiente
Usuario_219,Oficina,COP,True,2,7,378.83,Eficiente
Usuario_220,Oficina,PEN,True,14,8,387.01,Eficiente
Usuario_221,Casa,BRL,False,33,1,476.27,Eficiente
Usuario_222,Oficina,BRL,True,35,12,307.92,Eficiente
Usuario_223,Casa,PEN,True,39,2,405.23,Eficiente
Usuario_224,Apartamento,PEN,True,20,7,215.48,Eficiente
Usuario_225,Comercio,ARS,True,2,11,774.58,Moderado
Usuario_226,Casa,USD,True,19,13,406.99,Eficiente
Usuario_227,Oficina,CLP,False,37,13,456.68,Eficiente
Usuario_228,Casa,BRL,True,18,2,313.29,Eficiente
Usuario_229,Oficina,PEN,False,16,7,666.7,Moderado
Usuario_230,Apartamento,CLP,True,4,9,323.68,Ineficiente
Usuario_231,Casa,BRL,True,12,11,277.4,Eficiente
Usuario_232,Apartamento,PEN,False,29,2,153.48,Eficiente
Usuario_233,Comercio,BRL,True,7,7,1048.46,Moderado
Usuario_234,Oficina,ARS,False,14,4,474.95,Eficiente
Usuario_235,Oficina,USD,True,12,11,575.66,Moderado
Usuario_236,Apartamento,USD,True,35,13,211.1,Eficiente
Usuario_237,Comercio,PEN,False,5,2,508.06,Eficiente
Usuario_238,Casa,BRL,True,17,13,416.27,Eficiente
Usuario_239,Casa,ARS,False,32,7,393.8,Eficiente
Usuario_240,Oficina,MXN,True,10,13,401.5,Eficiente
Usuario_241,Apartamento,CLP,False,17,5,231.41,Eficiente
Usuario_242,Apartamento,CLP,True,5,1,307.33,Ineficiente
Usuario_243,Casa,COP,True,9,5,416.65,Moderado
Usuario_244,Comercio,ARS,False,33,12,487.84,Eficiente
Usuario_245,Comercio,BRL,False,36,12,803.62,Eficiente
Usuario_246,Casa,COP,False,36,3,455.96,Eficiente
Usuario_247,Casa,PEN,False,18,7,487.45,Eficiente
Usuario_248,Apartamento,BRL,False,9,6,270.41,Eficiente
Usuario_249,Comercio,COP,True,29,8,526.86,Eficiente
Usuario_250,Casa,USD,True,14,13,458.56,Moderado
Usuario_251,Casa,CLP,True,25,5,447.07,Eficiente
Usuario_252,Oficina,BRL,True,15,2,312.21,Eficiente
Usuario_253,Casa,COP,True,6,9,354.11,Moderado
Usuario_254,Casa,USD,True,29,11,326.53,Eficiente
Usuario_255,Comercio,ARS,True,15,8,888.59,Moderado
Usuario_256,Apartamento,COP,False,29,6,179.55,Eficiente
Usuario_257,Comercio,PEN,True,4,13,833.61,Ineficiente
Usuario_258,Apartamento,PEN,True,18,10,332.91,Moderado
Usuario_259,Oficina,PEN,True,39,7,698.9,Eficiente
Usuario_260,Casa,BRL,False,16,9,532.51,Eficiente
Usuario_261,Oficina,CLP,False,11,7,789.25,Ineficiente
Usuario_262,Apartamento,COP,False,14,3,134.35,Eficiente
Usuario_263,Comercio,ARS,True,3,6,855.92,Moderado
Usuario_264,Comercio,COP,True,38,11,708.99,Eficiente
Usuario_265,Oficina,CLP,True,18,13,729.93,Ineficiente
Usuario_266,Apartamento,USD,True,20,11,187.4,Eficiente
Usuario_267,Oficina,CLP,True,25,7,790.51,Ineficiente
Usuario_268,Oficina,PEN,True,38,2,606.85,Eficiente
Usuario_269,Casa,BRL,True,13,3,487.74,Eficiente
Usuario_270,Oficina,USD,False,4,4,342.8,Eficiente
Usuario_271,Casa,BRL,False,14,10,274.21,Eficiente
Usuario_272,Casa,PEN,True,33,6,475.44,Eficiente
Usuario_273,Comercio,MXN,True,28,1,435.39,Eficiente
Usuario_274,Casa,CLP,True,37,9,495.91,Moderado
Usuario_275,Casa,CLP,True,8,5,214.88,Eficiente
Usuario_276,Comercio,ARS,False,34,13,879.98,Eficiente
Usuario_277,Oficina,COP,True,5,12,482.55,Moderado
Usuario_278,Apartamento,USD,False,5,7,266.53,Eficiente
Usuario_279,Apartamento,BRL,True,31,9,285.13,Eficiente
Usuario_280,Apartamento,USD,False,9,9,207.34,Eficiente
Usuario_281,Oficina,ARS,True,32,1,353.98,Eficiente
Usuario_282,Casa,ARS,False,33,1,234.38,Eficiente
Usuario_283,Apartamento,BRL,True,3,3,261.57,Eficiente
Usuario_284,Oficina,COP,False,30,6,560.33,Eficiente
Usuario_285,Casa,BRL,True,12,2,469.77,Eficiente
Usuario_286,Comercio,BRL,True,29,10,776.81,Eficiente
Usuario_287,Apartamento,PEN,False,3,12,224.94,Moderado
Usuario_288,Casa,COP,False,26,11,349.33,Eficiente
Usuario_289,Apartamento,CLP,False,30,1,137.82,Eficiente
Usuario_290,Apartamento,PEN,False,9,1,205.82,Eficiente
Usuario_291,Apartamento,MXN,False,26,13,346.72,Eficiente
Usuario_292,Casa,COP,True,2,5,515.74,Ineficiente
Usuario_293,Oficina,ARS,True,3,4,464.69,Eficiente
Usuario_294,Casa,PEN,True,4,1,415.73,Moderado
Usuario_295,Apartamento,COP,False,25,4,318.41,Eficiente
Usuario_296,Casa,USD,True,13,3,364.45,Eficiente
Usuario_297,Comercio,BRL,True,39,2,432.57,Eficiente
Usuario_298,Oficina,MXN,True,35,9,337.26,Eficiente
Usuario_299,Casa,CLP,False,23,11,388.64,Eficiente
Usuario_300,Comercio,BRL,True,9,1,1098.61,Ineficiente
Usuario_301,Oficina,USD,True,2,7,646.6,Ineficiente
Usuario_302,Comercio,USD,True,31,13,469.64,Eficiente
Usuario_303,Oficina,MXN,True,2,4,394.68,Eficiente
Usuario_304,Casa,CLP,True,32,5,479.96,Eficiente
Usuario_305,Comercio,ARS,False,18,10,1009.01,Moderado
Usuario_306,Apartamento,PEN,False,13,5,267.89,Eficiente
Usuario_307,Comercio,CLP,False,5,1,871.1,Moderado
Usuario_308,Oficina,COP,True,10,6,314.17,Eficiente
Usuario_309,Casa,USD,False,25,13,499.99,Eficiente
Usuario_310,Oficina,COP,True,34,9,694.14,Moderado
Usuario_311,Comercio,ARS,True,37,2,601.32,Eficiente
Usuario_312,Comercio,COP,False,30,7,916.07,Eficiente
Usuario_313,Apartamento,CLP,True,7,6,179.27,Eficiente
Usuario_314,Casa,COP,True,6,5,224.12,Eficiente
Usuario_315,Casa,ARS,False,3,4,280.4,Eficiente
Usuario_316,Comercio,ARS,True,13,4,545.04,Eficiente
Usuario_317,Casa,ARS,False,3,6,328.21,Eficiente
Usuario_318,Apartamento,CLP,True,26,4,224.06,Eficiente
Usuario_319,Oficina,ARS,False,24,5,554.27,Eficiente
Usuario_320,Casa,USD,True,6,13,376.86,Moderado
Usuario_321,Comercio,BRL,True,12,6,609.47,Eficiente
Usuario_322,Oficina,ARS,False,36,5,314.59,Eficiente
Usuario_323,Oficina,COP,True,2,7,602.55,Moderado
Usuario_324,Apartamento,PEN,True,11,9,219.06,Eficiente
Usuario_325,Comercio,COP,True,39,10,629.07,Eficiente
Usuario_326,Casa,PEN,True,34,7,513.43,Eficiente
Usuario_327,Comercio,COP,True,26,7,942.72,Moderado
Usuario_328,Oficina,CLP,True,18,4,728.88,Ineficiente
Usuario_329,Comercio,COP,False,21,1,766.49,Eficiente
Usuario_330,Casa,CLP,True,36,8,255.83,Eficiente
Usuario_331,Casa,CLP,True,22,4,453.68,Moderado
Usuario_332,Apartamento,ARS,True,30,1,177.34,Eficiente
Usuario_333,Casa,USD,True,30,5,364.43,Eficiente
Usuario_334,Casa,PEN,False,8,8,232.75,Eficiente
Usuario_335,Comercio,ARS,True,34,4,997.72,Moderado
Usuario_336,Comercio,ARS,False,9,13,508.16,Eficiente
Usuario_337,Oficina,BRL,True,20,12,751.55,Moderado
Usuario_338,Apartamento,CLP,False,25,8,322.13,Eficiente
Usuario_339,Comercio,CLP,True,19,8,745.21,Moderado
Usuario_340,Casa,PEN,False,5,3,470.53,Moderado
Usuario_341,Oficina,COP,True,11,9,609.72,Moderado
Usuario_342,Comercio,COP,True,15,3,982.15,Moderado
Usuario_343,Apartamento,ARS,True,8,1,227.0,Eficiente
Usuario_344,Apartamento,MXN,True,19,2,304.88,Eficiente
Usuario_345,Oficina,MXN,False,23,6,531.23,Eficiente
Usuario_346,Oficina,COP,True,27,12,770.48,Moderado
Usuario_347,Oficina,MXN,True,32,10,543.19,Eficiente
Usuario_348,Oficina,BRL,False,26,2,531.31,Eficiente
Usuario_349,Oficina,COP,True,27,6,692.54,Moderado
Usuario_350,Casa,CLP,False,19,1,497.55,Moderado
Usuario_351,Casa,ARS,False,29,11,404.07,Eficiente
Usuario_352,Comercio,USD,True,39,13,545.86,Eficiente
Usuario_353,Apartamento,ARS,False,33,1,234.91,Eficiente
Usuario_354,Casa,COP,True,19,5,548.83,Moderado
Usuario_355,Casa,BRL,True,37,10,473.55,Eficiente
Usuario_356,Casa,COP,True,19,13,493.91,Moderado
Usuario_357,Comercio,ARS,True,33,11,442.98,Eficiente
Usuario_358,Oficina,BRL,False,16,9,533.93,Eficiente
Usuario_359,Comercio,BRL,False,23,8,872.63,Eficiente
Usuario_360,Apartamento,BRL,True,7,3,314.61,Moderado
Usuario_361,Apartamento,PEN,True,26,3,142.84,Eficiente
Usuario_362,Apartamento,COP,False,32,1,319.54,Eficiente
Usuario_363,Apartamento,MXN,True,12,3,252.65,Eficiente
Usuario_364,Casa,MXN,True,8,12,279.06,Eficiente
Usuario_365,Casa,COP,True,5,12,321.04,Eficiente
Usuario_366,Comercio,COP,False,28,12,617.35,Eficiente
Usuario_367,Oficina,PEN,True,5,13,565.43,Ineficiente
Usuario_368,Apartamento,MXN,False,26,11,143.37,Eficiente
Usuario_369,Comercio,COP,False,5,1,530.98,Eficiente
Usuario_370,Casa,COP,True,22,8,494.44,Eficiente
Usuario_371,Casa,PEN,True,15,1,256.41,Eficiente
Usuario_372,Oficina,PEN,False,13,5,416.7,Eficiente
Usuario_373,Oficina,ARS,True,28,9,526.69,Eficiente
Usuario_374,Oficina,PEN,False,33,7,558.56,Eficiente
Usuario_375,Comercio,USD,False,23,4,954.53,Moderado
Usuario_376,Casa,MXN,False,33,11,366.57,Eficiente
Usuario_377,Casa,ARS,False,18,9,486.45,Eficiente
Usuario_378,Oficina,USD,False,30,9,609.17,Eficiente
Usuario_379,Apartamento,COP,False,26,2,156.88,Eficiente
Usuario_380,Oficina,COP,True,16,10,378.17,Eficiente
Usuario_381,Comercio,ARS,True,13,10,725.92,Eficiente
Usuario_382,Oficina,PEN,True,39,11,498.44,Eficiente
Usuario_383,Oficina,BRL,False,33,12,671.77,Eficiente
Usuario_384,Comercio,BRL,True,26,6,826.52,Eficiente
Usuario_385,Oficina,COP,False,1,4,494.07,Eficiente
Usuario_386,Casa,BRL,True,38,8,269.77,Eficiente
Usuario_387,Apartamento,CLP,False,2,12,181.9,Eficiente
Usuario_388,Oficina,ARS,True,6,11,587.75,Moderado
Usuario_389,Comercio,USD,False,38,7,716.41,Eficiente
Usuario_390,Apartamento,ARS,True,24,7,245.28,Eficiente
Usuario_391,Comercio,MXN,True,18,11,539.47,Eficiente
Usuario_392,Apartamento,PEN,True,27,10,277.84,Eficiente
Usuario_393,Apartamento,PEN,False,8,9,319.56,Moderado
Usuario_394,Oficina,ARS,True,28,13,428.97,Eficiente
Usuario_395,Casa,COP,True,10,5,382.03,Eficiente
Usuario_396,Oficina,COP,False,17,6,787.76,Moderado
Usuario_397,Comercio,CLP,False,29,1,653.27,Eficiente
Usuario_398,Comercio,CLP,False,6,6,836.53,Moderado
Usuario_399,Apartamento,PEN,True,14,2,151.84,Eficiente
Usuario_400,Apartamento,CLP,True,22,6,265.32,Eficiente
Usuario_401,Casa,USD,False,6,9,241.37,Eficiente
Usuario_402,Oficina,CLP,True,26,8,779.62,Ineficiente
Usuario_403,Comercio,USD,False,39,9,920.96,Eficiente
Usuario_404,Apartamento,CLP,True,12,13,305.4,Ineficiente
Usuario_405,Casa,PEN,True,35,10,456.44,Eficiente
Usuario_406,Comercio,PEN,True,14,8,832.81,Moderado
Usuario_407,Apartamento,USD,True,22,3,230.98,Eficiente
Usuario_408,Comercio,ARS,True,23,8,1020.86,Moderado
Usuario_409,Casa,PEN,True,7,6,544.89,Ineficiente
Usuario_410,Casa,ARS,False,25,13,384.66,Eficiente
Usuario_411,Comercio,COP,True,13,6,1072.07,Ineficiente
Usuario_412,Oficina,USD,False,21,6,591.67,Eficiente
Usuario_413,Comercio,BRL,False,10,3,796.87,Eficiente
Usuario_414,Apartamento,PEN,True,9,10,231.99,Moderado
Usuario_415,Oficina,MXN,True,15,1,404.64,Eficiente
Usuario_416,Apartamento,COP,False,2,12,132.82,Eficiente
Usuario_417,Comercio,ARS,False,25,4,589.05,Eficiente
Usuario_418,Oficina,PEN,False,13,10,554.86,Moderado
Usuario_419,Apartamento,USD,False,34,12,215.59,Eficiente
Usuario_420,Comercio,BRL,False,34,6,733.94,Eficiente
Usuario_421,Comercio,CLP,True,35,11,1106.45,Ineficiente
Usuario_422,Oficina,BRL,True,38,12,475.14,Eficiente
Usuario_423,Comercio,MXN,False,3,10,736.53,Eficiente
Usuario_424,Casa,ARS,True,6,2,256.73,Eficiente
Usuario_425,Apartamento,COP,False,19,7,142.55,Eficiente
Usuario_426,Apartamento,BRL,True,3,7,302.59,Moderado
Usuario_427,Comercio,USD,True,18,11,819.48,Moderado
Usuario_428,Comercio,MXN,False,39,4,952.49,Eficiente
Usuario_429,Casa,USD,True,9,4,262.45,Eficiente
Usuario_430,Oficina,PEN,True,12,1,585.91,Moderado
Usuario_431,Comercio,CLP,True,5,13,597.55,Moderado
Usuario_432,Comercio,COP,False,3,2,579.64,Eficiente
Usuario_433,Comercio,USD,True,11,9,428.07,Eficiente
Usuario_434,Comercio,ARS,False,30,10,511.24,Eficiente
Usuario_435,Apartamento,PEN,True,4,8,200.04,Eficiente
Usuario_436,Comercio,PEN,False,5,8,501.82,Eficiente
Usuario_437,Apartamento,COP,False,1,9,348.89,Ineficiente
Usuario_438,Comercio,PEN,True,27,7,636.04,Eficiente
